contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,stockTicker,expiryDate,stockClosePrice
AAPL250711P00110000,2025-07-10 13:30:03+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,169.0,3.8750003125,False,REGULAR,USD,AAPL,2025-07-11,212.41000366210938
AAPL250711P00120000,2025-06-26 16:54:19+00:00,120.0,0.01,0.0,0.01,0.0,0.0,9.0,21.0,3.3750015624999996,False,REGULAR,USD,AAPL,2025-07-11,201.0
AAPL250711P00125000,2025-07-03 14:59:37+00:00,125.0,0.01,0.0,0.01,0.0,0.0,150.0,173.0,3.1250021875,False,REGULAR,USD,AAPL,2025-07-11,213.5500030517578
AAPL250711P00130000,2025-07-07 19:59:50+00:00,130.0,0.01,0.0,0.01,0.0,0.0,1.0,65.0,2.8750028125,False,REGULAR,USD,AAPL,2025-07-11,209.9499969482422
AAPL250711P00135000,2025-06-30 15:17:33+00:00,135.0,0.01,0.0,0.01,0.0,0.0,342.0,372.0,2.68750328125,False,REGULAR,USD,AAPL,2025-07-11,205.1699981689453
AAPL250711P00140000,2025-06-30 19:26:27+00:00,140.0,0.01,0.0,0.01,0.0,0.0,227.0,485.0,2.50000375,False,REGULAR,USD,AAPL,2025-07-11,205.1699981689453
AAPL250711P00145000,2025-07-11 15:09:06+00:00,145.0,0.01,0.0,0.01,0.0,0.0,2.0,354.0,2.3125042187499996,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00150000,2025-07-08 17:22:15+00:00,150.0,0.01,0.0,0.01,0.0,0.0,1.0,2971.0,2.1250046874999997,False,REGULAR,USD,AAPL,2025-07-11,210.00999450683594
AAPL250711P00155000,2025-07-10 15:18:17+00:00,155.0,0.01,0.0,0.01,0.0,0.0,1.0,438.0,1.9375003125,False,REGULAR,USD,AAPL,2025-07-11,212.41000366210938
AAPL250711P00160000,2025-07-10 18:52:27+00:00,160.0,0.01,0.0,0.01,0.0,0.0,13.0,7466.0,1.75000125,False,REGULAR,USD,AAPL,2025-07-11,212.41000366210938
AAPL250711P00165000,2025-07-08 19:40:15+00:00,165.0,0.01,0.0,0.01,0.0,0.0,11.0,1461.0,1.5625021874999998,False,REGULAR,USD,AAPL,2025-07-11,210.00999450683594
AAPL250711P00170000,2025-07-11 16:58:01+00:00,170.0,0.01,0.0,0.01,0.0,0.0,6.0,2124.0,1.3750031249999999,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00175000,2025-07-11 14:41:32+00:00,175.0,0.01,0.0,0.01,0.0,0.0,3.0,3758.0,1.1875040625,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00177500,2025-07-11 18:11:12+00:00,177.5,0.01,0.0,0.01,0.0,0.0,1.0,1325.0,1.125004375,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00180000,2025-07-11 18:35:59+00:00,180.0,0.01,0.0,0.01,0.0,0.0,6.0,3398.0,1.0312548437500002,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00182500,2025-07-11 19:23:31+00:00,182.5,0.01,0.0,0.01,0.0,0.0,28.0,1856.0,0.937500625,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00185000,2025-07-11 19:23:31+00:00,185.0,0.01,0.0,0.01,0.0,0.0,29.0,4440.0,0.87500125,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00187500,2025-07-11 19:31:34+00:00,187.5,0.01,0.0,0.01,-0.01,-50.0,66.0,2151.0,0.7812521875,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00190000,2025-07-11 19:36:24+00:00,190.0,0.01,0.0,0.01,-0.01,-50.0,127.0,4013.0,0.7187528125,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00192500,2025-07-11 19:45:12+00:00,192.5,0.01,0.0,0.01,0.0,0.0,990.0,2897.0,0.6250037500000001,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00195000,2025-07-11 19:52:29+00:00,195.0,0.01,0.0,0.01,0.0,0.0,492.0,10255.0,0.5468795312500001,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00197500,2025-07-11 19:22:16+00:00,197.5,0.01,0.0,0.01,-0.01,-50.0,1914.0,5198.0,0.500005,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00200000,2025-07-11 19:17:52+00:00,200.0,0.01,0.0,0.01,-0.01,-50.0,1846.0,11139.0,0.42188078125,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00202500,2025-07-11 19:59:28+00:00,202.5,0.01,0.0,0.01,-0.02,-66.66667,3209.0,9136.0,0.335944140625,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00205000,2025-07-11 19:58:47+00:00,205.0,0.01,0.0,0.01,-0.04,-80.00001,3650.0,14572.0,0.2461012890625,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711P00207500,2025-07-11 19:51:26+00:00,207.5,0.01,0.0,0.01,-0.080000006,-88.88889,11918.0,13231.0,0.1562584375,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
