contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,stockTicker,expiryDate,stockClosePrice
AAPL250711C00110000,2025-07-11 18:50:00+00:00,110.0,101.3,100.3,103.2,-1.5999985,-1.5549061,59.0,151.0,6.593751757812501,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00120000,2025-07-03 16:55:56+00:00,120.0,93.55,90.3,93.2,0.0,0.0,4.0,7.0,5.808596489257813,True,REGULAR,USD,AAPL,2025-07-11,213.5500030517578
AAPL250711C00130000,2025-06-16 13:37:32+00:00,130.0,67.25,80.5,83.2,0.0,0.0,4.0,4.0,5.230472211914062,True,REGULAR,USD,AAPL,2025-07-11,198.4199981689453
AAPL250711C00135000,2025-06-27 15:04:55+00:00,135.0,66.3,74.9,78.2,0.0,0.0,1.0,1.0,4.414066982421874,True,REGULAR,USD,AAPL,2025-07-11,201.0800018310547
AAPL250711C00140000,2025-07-09 19:03:58+00:00,140.0,70.03,70.7,73.2,0.0,0.0,1.0,4.0,4.658207302246094,True,REGULAR,USD,AAPL,2025-07-11,211.13999938964844
AAPL250711C00145000,2025-07-08 14:32:15+00:00,145.0,65.0,65.05,68.2,0.0,0.0,2.0,2.0,3.9101564746093755,True,REGULAR,USD,AAPL,2025-07-11,210.00999450683594
AAPL250711C00150000,2025-07-01 16:50:02+00:00,150.0,58.19,60.6,63.2,0.0,0.0,4.0,2522.0,3.9394532763671872,True,REGULAR,USD,AAPL,2025-07-11,207.82000732421875
AAPL250711C00155000,2025-07-01 15:25:19+00:00,155.0,53.95,54.55,58.2,0.0,0.0,2.0,2.0,2.9101589746093754,True,REGULAR,USD,AAPL,2025-07-11,207.82000732421875
AAPL250711C00160000,2025-07-11 13:37:01+00:00,160.0,50.0,50.6,53.2,-2.75,-5.21327,25.0,5305.0,3.314454838867187,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00165000,2025-07-09 17:36:59+00:00,165.0,44.16,44.65,48.2,0.0,0.0,1.0,11.0,2.47656630859375,True,REGULAR,USD,AAPL,2025-07-11,211.13999938964844
AAPL250711C00170000,2025-07-09 18:17:52+00:00,170.0,41.15,40.7,43.2,1.4000015,3.5220165,6.0,26.0,2.7529328051757815,True,REGULAR,USD,AAPL,2025-07-11,211.13999938964844
AAPL250711C00175000,2025-07-11 19:01:04+00:00,175.0,36.02,35.7,38.15,0.24000168,0.6707705,3.0,15.0,2.43750390625,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00177500,2025-07-09 13:51:34+00:00,177.5,33.72,32.7,35.7,1.5200005,4.720498,1.0,20.0,2.119145327148437,True,REGULAR,USD,AAPL,2025-07-11,211.13999938964844
AAPL250711C00180000,2025-07-11 19:25:19+00:00,180.0,31.1,30.6,33.2,-1.0300007,-3.2057288,16.0,182.0,2.128910927734375,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00182500,2025-07-08 14:36:15+00:00,182.5,27.75,27.45,30.7,0.0,0.0,4.0,19.0,1.7412122314453122,True,REGULAR,USD,AAPL,2025-07-11,210.00999450683594
AAPL250711C00185000,2025-07-11 14:48:37+00:00,185.0,26.5,25.7,28.2,-0.19000053,-0.7118791,1719.0,1762.0,1.8710943945312501,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00187500,2025-07-11 19:19:37+00:00,187.5,23.63,22.3,25.7,-0.27000046,-1.129709,40.0,281.0,1.4160185449218752,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00190000,2025-07-11 19:59:36+00:00,190.0,21.18,20.85,22.3,-1.2199993,-5.4464254,139.0,470.0,1.3457063964843747,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00192500,2025-07-11 19:32:55+00:00,192.5,18.7,18.3,20.0,-1.5900002,-7.836373,2.0,297.0,1.2636755566406248,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00195000,2025-07-11 19:54:40+00:00,195.0,16.2,15.6,16.2,-1.4499989,-8.215291,75.0,2121.0,0.70312796875,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00197500,2025-07-11 19:08:32+00:00,197.5,13.39,13.0,14.9,-1.4899998,-10.013439,41.0,5132.0,0.868165380859375,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00200000,2025-07-11 19:46:02+00:00,200.0,11.15,10.9,12.2,-1.3500004,-10.800002,816.0,3300.0,0.797853583984375,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00202500,2025-07-11 19:54:00+00:00,202.5,8.55,8.35,9.4,-1.4499998,-14.499998,390.0,3338.0,0.5644574804687501,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00205000,2025-07-11 19:59:50+00:00,205.0,6.06,6.0,6.15,-1.4900002,-19.735104,4236.0,7541.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00207500,2025-07-11 19:59:50+00:00,207.5,3.56,3.5,3.7,-1.5,-29.64427,3085.0,7931.0,0.19727365234375,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00210000,2025-07-11 19:59:42+00:00,210.0,1.1,0.98,1.49,-1.4999999,-57.692303,52314.0,18439.0,0.17627776855468752,True,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00212500,2025-07-11 19:59:56+00:00,212.5,0.01,0.0,0.01,-1.04,-99.04762,125307.0,16105.0,0.06641558593750001,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00215000,2025-07-11 19:56:45+00:00,215.0,0.01,0.0,0.01,-0.24999999,-96.15384,38750.0,35651.0,0.1601646484375,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00217500,2025-07-11 19:56:50+00:00,217.5,0.01,0.0,0.01,-0.049999997,-83.333336,9187.0,38228.0,0.242195078125,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00220000,2025-07-11 19:54:40+00:00,220.0,0.01,0.0,0.01,-0.02,-66.66667,5203.0,26986.0,0.32813171874999997,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00222500,2025-07-11 19:54:50+00:00,222.5,0.01,0.0,0.01,0.0,0.0,497.0,9140.0,0.4062559375,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00225000,2025-07-11 19:37:10+00:00,225.0,0.01,0.0,0.01,0.0,0.0,4636.0,17560.0,0.48438015625,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00227500,2025-07-11 19:49:01+00:00,227.5,0.01,0.0,0.01,0.0,0.0,52.0,6352.0,0.51562984375,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00230000,2025-07-11 19:44:22+00:00,230.0,0.01,0.0,0.01,0.0,0.0,121.0,9379.0,0.57812921875,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00232500,2025-07-11 18:51:12+00:00,232.5,0.01,0.0,0.01,0.0,0.0,105.0,829.0,0.6562534375000001,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00235000,2025-07-11 17:34:04+00:00,235.0,0.01,0.0,0.01,0.0,0.0,36.0,8045.0,0.7187528125,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00240000,2025-07-11 14:17:08+00:00,240.0,0.01,0.0,0.01,0.0,0.0,7.0,4739.0,0.8437515624999999,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00245000,2025-07-11 13:48:55+00:00,245.0,0.01,0.0,0.01,0.0,0.0,8.0,737.0,0.9687503125,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00250000,2025-07-11 15:27:58+00:00,250.0,0.01,0.0,0.01,0.0,0.0,50.0,1192.0,1.0625046875000002,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00255000,2025-07-07 13:40:49+00:00,255.0,0.01,0.0,0.01,0.0,0.0,127.0,350.0,1.1875040625,False,REGULAR,USD,AAPL,2025-07-11,209.9499969482422
AAPL250711C00260000,2025-07-10 16:48:24+00:00,260.0,0.01,0.0,0.01,0.0,0.0,1.0,330.0,1.3125034374999998,False,REGULAR,USD,AAPL,2025-07-11,212.41000366210938
AAPL250711C00265000,2025-07-09 16:18:43+00:00,265.0,0.01,0.0,0.01,0.0,0.0,1.0,48.0,1.40625296875,False,REGULAR,USD,AAPL,2025-07-11,211.13999938964844
AAPL250711C00270000,2025-07-10 14:21:38+00:00,270.0,0.01,0.0,0.01,0.0,0.0,3.0,115.0,1.5000025,False,REGULAR,USD,AAPL,2025-07-11,212.41000366210938
AAPL250711C00275000,2025-07-10 13:49:24+00:00,275.0,0.01,0.0,0.01,0.0,0.0,2.0,17.0,1.625001875,False,REGULAR,USD,AAPL,2025-07-11,212.41000366210938
AAPL250711C00280000,2025-06-10 16:08:03+00:00,280.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,AAPL,2025-07-11,202.6699981689453
AAPL250711C00285000,2025-07-08 15:28:47+00:00,285.0,0.01,0.0,0.01,0.0,0.0,1.0,2.0,1.8125009374999999,False,REGULAR,USD,AAPL,2025-07-11,210.00999450683594
AAPL250711C00290000,2025-07-02 14:26:48+00:00,290.0,0.01,0.0,0.01,0.0,0.0,59.0,60.0,1.9062504687500001,False,REGULAR,USD,AAPL,2025-07-11,212.44000244140625
AAPL250711C00300000,2025-07-11 14:00:28+00:00,300.0,0.01,0.0,0.01,0.0,0.0,6.0,36.0,2.0625048437499998,False,REGULAR,USD,AAPL,2025-07-11,211.16000366210938
AAPL250711C00305000,2025-07-08 19:05:44+00:00,305.0,0.01,0.0,0.01,0.0,0.0,1.0,2.0,2.1875045312499997,False,REGULAR,USD,AAPL,2025-07-11,210.00999450683594
AAPL250711C00320000,2025-06-27 19:45:01+00:00,320.0,0.01,0.0,0.01,0.0,0.0,1.0,2.0,2.43750390625,False,REGULAR,USD,AAPL,2025-07-11,201.0800018310547
AAPL250711C00325000,2025-07-10 14:51:52+00:00,325.0,0.01,0.0,0.01,0.0,0.0,1.0,15.0,2.50000375,False,REGULAR,USD,AAPL,2025-07-11,212.41000366210938
AAPL250718C00090000,2025-07-11 15:38:33+00:00,90.0,120.77,120.7,121.6,-2.2300034,-1.8130108,2.0,405.0,2.832034169921875,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00095000,2025-07-11 15:38:33+00:00,95.0,115.75,115.75,116.65,-2.2699966,-1.9234,2.0,13.0,1.9765626171875001,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00100000,2025-07-10 19:44:53+00:00,100.0,113.0,110.85,111.45,0.0,0.0,4.0,531.0,2.3593791015624994,True,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00105000,2025-07-11 18:09:40+00:00,105.0,106.55,105.65,106.65,-1.3600006,-1.26031,3.0,43.0,2.4033243041992183,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00110000,2025-07-11 18:09:40+00:00,110.0,101.54,100.65,101.55,-1.3700027,-1.331263,38.0,346.0,2.1796920507812496,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00115000,2025-07-10 15:16:18+00:00,115.0,98.21,95.7,96.65,0.0,0.0,4.0,80.0,1.3906280468749999,True,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00120000,2025-07-10 15:16:18+00:00,120.0,93.2,90.85,91.55,0.0,0.0,4.0,214.0,1.4296903515625,True,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00125000,2025-07-10 19:01:28+00:00,125.0,87.92,85.95,86.5,0.0,0.0,14.0,2542.0,1.40625296875,True,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00130000,2025-07-11 19:43:32+00:00,130.0,81.27,80.95,81.55,-1.8199997,-2.1903956,3.0,209.0,1.36328443359375,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00135000,2025-07-11 18:47:37+00:00,135.0,76.58,75.9,76.5,-1.5400009,-1.9713273,1.0,492.0,1.15625421875,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00140000,2025-07-02 13:31:19+00:00,140.0,68.8,70.9,71.5,0.0,0.0,1.0,7983.0,1.0703171484375003,True,REGULAR,USD,AAPL,2025-07-18,212.44000244140625
AAPL250718C00145000,2025-07-02 15:28:52+00:00,145.0,66.97,65.95,66.55,0.0,0.0,4.0,179.0,1.08203583984375,True,REGULAR,USD,AAPL,2025-07-18,212.44000244140625
AAPL250718C00150000,2025-07-10 15:39:53+00:00,150.0,63.1,60.9,61.45,0.0,0.0,2.0,649.0,0.8125018749999999,True,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00155000,2025-07-11 19:16:02+00:00,155.0,56.4,55.95,56.5,-1.3699989,-2.3714712,2.0,144.0,0.8710950390625,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00160000,2025-07-11 13:43:01+00:00,160.0,51.26,51.0,51.5,-1.8400002,-3.4651604,15.0,818.0,0.8261736132812498,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00165000,2025-07-10 16:13:54+00:00,165.0,47.27,45.7,46.5,0.0,0.0,21.0,395.0,0.914063359375,True,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00170000,2025-07-11 18:08:59+00:00,170.0,41.77,41.0,41.55,-1.2299995,-2.860464,32.0,745.0,0.6875031250000001,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00175000,2025-07-11 13:30:11+00:00,175.0,36.06,36.0,36.6,-1.8099976,-4.7795024,2.0,803.0,0.6250037500000001,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00177500,2025-06-30 19:30:03+00:00,177.5,29.68,33.35,34.1,0.0,0.0,,3.0,0.523442265625,True,REGULAR,USD,AAPL,2025-07-18,205.1699981689453
AAPL250718C00180000,2025-07-11 19:29:44+00:00,180.0,31.37,31.0,31.45,-1.8099995,-5.4550915,33.0,2512.0,0.6171913281250001,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00182500,2025-07-11 18:57:49+00:00,182.5,28.8,28.5,29.0,-0.20000076,-0.6896578,1.0,30.0,0.5908244042968751,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00185000,2025-07-11 19:18:45+00:00,185.0,26.5,26.0,26.35,-1.8999996,-6.69014,63.0,5464.0,0.48828636718750007,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
